"required_file","status","chosen_source","destination","duplicate_count","all_candidates"
"baldwin_holy_cow.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/baldwin_holy_cow.PNG","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/baldwin_holy_cow.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/baldwin_holy_cow.PNG"
"sedol.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/sedol.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/sedol.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/sedol.jpg"
"gpt4advances.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/gpt4advances.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/gpt4advances.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/gpt4advances.png"
"compute.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/compute.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/compute.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/compute.jpg"
"processing.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/processing.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/processing.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/processing.png"
"iphone_apollo.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/iphone_apollo.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/iphone_apollo.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/iphone_apollo.png"
"moores.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/moores.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/moores.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/moores.png"
"prediction.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/prediction.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/prediction.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/prediction.png"
"ai_evolution.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/ai_evolution.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/ai_evolution.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/ai_evolution.png"
"tail.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/tail.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/tail.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/tail.jpg"
"rometty1.jpeg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/rometty1.jpeg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/rometty1.jpeg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/rometty1.jpeg"
"go.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/go.PNG","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/go.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/go.PNG"
"tesla.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/tesla.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/tesla.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/tesla.jpg"
"car_collage.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/car_collage.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/car_collage.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/car_collage.jpg"
"neural_net.jpeg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/neural_net.jpeg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/neural_net.jpeg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/neural_net.jpeg"
"deep_learning_subset.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/deep_learning_subset.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/deep_learning_subset.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/deep_learning_subset.png"
"pixels.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/pixels.PNG","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/pixels.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/pixels.PNG"
"dl_face.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/dl_face.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/dl_face.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/dl_face.png"
"neural_russell.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/neural_russell.PNG","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/neural_russell.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/neural_russell.PNG"
"neural_net_training.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/neural_net_training.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/neural_net_training.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/neural_net_training.png"
"ng.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/ng.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/ng.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/ng.jpg"
"china_label.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/china_label.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/china_label.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/china_label.jpg"
"gpt_explainer.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/gpt_explainer.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/gpt_explainer.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/gpt_explainer.png"
"agents.jpeg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/agents.jpeg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/agents.jpeg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/agents.jpeg"
"wave_cover.jpg","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/wave_cover.jpg","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/wave_cover.jpg",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/wave_cover.jpg"
"basel_2025_teams.png","COPIED","C:/Users/sw439/Dropbox/Courses/Slides/images/basel_2025_teams.png","C:/Users/sw439/Documents/GitHub/course-ai-economy-slides/assets/basel_2025_teams.png",1,"C:/Users/sw439/Dropbox/Courses/Slides/images/basel_2025_teams.png"
